Rating,Title,Date,Verified Purchase,Body,Helpful Votes
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
4.0,,"November 16, 2019",No,None,0
